;ML1;ML2;ML3
eat.8;-0.002398138;0.0080466;0.003069096
eat.9;-0.001409238;0.005372578;-0.001470795
eat.10;-0.009049983;0.026252922;0.006346066
eat.11;-0.010920252;0.0277263;0.009277174
eat.12;-0.010879979;0.020456819;0.007436399
eat.13;0.001331491;1.01847E-05;0.002826113
eat.14;-0.01071278;0.031608127;0.005718142
eat.15;-0.002744413;0.012655568;-0.000604974
eat.16;-0.004116616;0.011479594;-0.003670629
eat.17;-0.005336752;0.010633114;0.003266139
eat.18;-0.004725577;0.015567677;0.005466174
eat.19;-0.005000133;-0.002909688;0.000467934
eat.20;-0.005132204;0.01152663;0.003428106
eat.21;-0.006060589;0.020828179;0.004330392
eat.22;-0.006310605;0.023378074;0.000495451
eat.23;-0.008428633;0.015268186;0.005610102
eat.24;-0.003401142;0.021320586;-0.00270703
eat.25;0.00116994;-0.00324118;0.005496904
eat.26;-0.001730316;0.008256788;-0.003107125
apathy.1;0.027667504;-0.014878552;0.001581753
apathy.2;0.034530897;0.004353824;-0.013228171
apathy.3;0.026784687;-0.010518079;-0.008995078
apathy.4;0.016552928;-0.02486696;0.01437946
apathy.5;0.017236269;-0.020821225;0.008387318
apathy.6;0.017348368;0.001221629;-0.00351644
apathy.7;0.031051086;-0.030324693;0.008652354
apathy.8;0.025045585;-0.00687492;-0.009726062
apathy.9;0.02229813;-0.01209268;-0.001753031
apathy.10;0.00640027;0.006505152;-0.002827202
apathy.11;0.011559151;0.005826966;-0.00672519
apathy.12;0.017239318;-0.010583653;0.011970689
apathy.13;0.008148898;-0.009680549;0.016396111
apathy.14;0.01901936;-0.020214875;0.004511414
apathy.15;0.01865483;-0.002873525;-0.000636817
apathy.16;0.028218303;-0.001574054;-0.014003188
apathy.17;0.045568752;-0.018845293;8.43183E-05
apathy.18;0.054707842;-0.024235858;0.000637035
